id,host_id,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,instant_bookable,reviews_per_month,neighbourhood_area,neighbourhood_pop,pop_density
7167404,35722205,71.55430761099366,0,1.0,1,1,9,1,1,3,1.0,3.0,1320.4675313807531,5,1125,0,64,4.86,1,0.62,9.233781,65933,7140.411929
631408211629905360,424166504,64.0,0,3.0,1,1,5,2,1,6,1.0,3.0,1850.0,3,1125,326,14,4.93,0,0.78,8.7,105360,12110.344828
41698847,135187406,71.55430761099366,0,1.0,1,0,2,1,1,2,1.0,1.0,900.0,6,48,363,0,4.818525443935496,0,0.7332381191537447,4.104694,79318,19323.730344
14306283,87421066,100.0,0,1.0,1,1,9,1,1,4,1.0,4.0,1320.4675313807531,3,1125,0,7,4.57,0,0.08,9.233781,65933,7140.411929
846404624679629094,55670342,70.0,0,1.0,1,1,2,1,1,3,1.0,1.0,1000.0,1,365,95,6,5.0,0,0.68,4.104694,79318,19323.730344
817856702622696806,353213693,100.0,0,3.0,1,0,7,3,2,1,0.5,1.0,550.0,3,365,302,1,5.0,0,1.0,9.784081,63068,6445.980977
13572969,78281516,71.55430761099366,0,1.0,1,1,4,2,1,2,1.0,1.0,1320.4675313807531,20,28,0,3,4.33,0,0.03,9.860777,81326,8247.423099
1331295,7220649,71.55430761099366,0,1.0,1,0,2,1,1,4,1.0,3.0,595.0,2,14,0,27,4.77,0,0.21,4.104694,79318,19323.730344
25786674,24538464,22.0,0,1.0,1,1,1,2,1,2,1.0,3.0,1443.0,3,365,265,2,5.0,0,0.55,8.371719,81143,9692.513569
781009155066344782,24615887,60.0,0,2.0,1,1,9,1,1,2,1.0,1.0,1320.4675313807531,2,365,0,2,5.0,0,0.21,9.233781,65933,7140.411929
901457537804776370,517004513,50.0,0,1.0,1,1,4,1,1,2,1.0,1.0,1100.0,2,365,298,5,5.0,0,0.74,9.860777,81326,8247.423099
687336487268295912,421287730,37.0,0,2.0,1,1,2,1,1,4,1.0,1.0,690.0,3,1125,151,7,4.86,0,1.2,4.104694,79318,19323.730344
37209496,110621165,93.0,0,4.0,1,1,1,1,1,5,1.0,2.0,930.0,3,60,188,18,4.67,0,0.63,8.371719,81143,9692.513569
629083770929998288,385842091,100.0,0,1.0,1,1,1,1,1,2,1.0,1.0,950.0,4,17,0,4,5.0,1,0.21,8.371719,81143,9692.513569
964560070732371276,174564421,80.0,0,1.0,1,1,2,1,1,2,1.0,1.0,1400.0,4,14,266,4,5.0,0,1.03,4.104694,79318,19323.730344
952645783145799257,25095007,71.55430761099366,0,2.0,1,1,1,1,1,2,1.0,1.0,1100.0,1,365,143,0,4.818525443935496,1,0.7332381191537447,8.371719,81143,9692.513569
650349468959368401,9554687,100.0,0,1.0,1,1,2,1,1,4,1.0,2.0,1257.0,3,365,0,2,4.5,0,0.35,4.104694,79318,19323.730344
587422086971970581,248476528,100.0,1,1.0,1,1,2,2,1,4,1.0,2.0,1770.0,2,1125,26,45,4.84,0,2.17,4.104694,79318,19323.730344
633836642645467776,257013007,100.0,0,1.0,1,1,7,2,1,2,1.0,1.0,1320.4675313807531,3,7,0,12,5.0,0,0.69,9.784081,63068,6445.980977
7259990,6946000,100.0,1,2.0,1,1,7,1,1,5,1.0,3.0,2299.0,2,14,58,61,4.98,0,0.61,9.784081,63068,6445.980977
996860509877918815,343435440,100.0,0,1.0,1,1,4,1,1,2,1.0,1.0,1200.0,1,365,250,0,4.818525443935496,0,0.7332381191537447,9.860777,81326,8247.423099
922845403191685386,3091746,70.0,0,2.0,1,1,4,2,1,4,1.0,3.0,1343.0,5,10,20,5,4.8,0,0.88,9.860777,81326,8247.423099
50965027,404310279,35.0,0,2.0,1,1,3,3,2,2,0.5,1.0,529.0,2,365,36,37,4.76,1,1.88,9.432832,57153,6058.94391
927239076003197810,3668426,100.0,0,1.0,1,1,3,2,1,4,2.0,2.0,6039.0,1,60,336,7,5.0,0,1.41,9.432832,57153,6058.94391
908422653652354919,272034559,60.0,0,1.0,1,0,2,1,1,4,1.0,1.0,1000.0,2,1125,87,5,5.0,0,0.82,4.104694,79318,19323.730344
45522651,368519616,100.0,1,1.0,1,1,1,1,1,3,1.0,2.0,1163.0,3,10,352,29,4.93,0,0.77,8.371719,81143,9692.513569
6680321,21812104,71.55430761099366,0,1.0,1,1,3,1,1,7,1.0,6.0,1320.4675313807531,7,1125,0,16,4.5,0,0.16,9.432832,57153,6058.94391
994103146783156637,4869283,22.0,0,2.0,1,1,6,1,1,4,1.5,3.0,1329.0,3,365,187,4,5.0,0,2.86,19.370227,88306,4558.852098
777385244777080152,6831037,46.0,0,1.0,1,1,4,2,1,2,1.0,1.0,811.0,1,365,81,2,5.0,0,0.17,9.860777,81326,8247.423099
23492145,8290269,99.0,0,4.0,1,1,3,3,2,2,0.5,1.0,657.0,2,31,13,261,4.83,0,3.71,9.432832,57153,6058.94391
13746486,47608341,100.0,0,1.0,1,1,4,1,1,2,1.0,1.0,1320.4675313807531,6,14,0,49,4.96,0,0.54,9.860777,81326,8247.423099
338928,113348,100.0,0,1.0,1,1,2,2,1,2,1.0,1.0,950.0,3,1125,8,98,4.9,0,0.7,4.104694,79318,19323.730344
9917231,3734603,80.0,0,1.0,1,1,7,2,1,7,1.0,4.0,1320.4675313807531,5,1125,0,24,4.92,1,0.26,9.784081,63068,6445.980977
8378577,23936168,86.0,0,2.0,1,1,1,1,1,2,1.0,1.0,1320.4675313807531,3,1125,0,35,4.89,0,0.35,8.371719,81143,9692.513569
864985059587848645,153020324,33.0,0,1.0,1,1,3,1,1,6,2.0,3.0,2300.0,5,15,255,1,5.0,0,0.19,9.432832,57153,6058.94391
909280667970293921,155348640,99.0,0,194.0,1,1,4,1,1,3,1.0,3.0,2221.0,1,1125,299,1,5.0,1,0.17,9.860777,81326,8247.423099
10055085,1562397,71.55430761099366,0,2.0,1,1,9,4,1,4,1.5,6.0,1320.4675313807531,90,1125,0,1,5.0,0,0.01,9.233781,65933,7140.411929
6422491,33508577,100.0,0,2.0,1,1,4,1,1,6,1.5,9.0,2800.0,4,1125,360,23,5.0,0,0.23,9.860777,81326,8247.423099
565624641537900716,14935975,100.0,0,5.0,1,0,4,2,1,4,1.0,2.0,800.0,4,17,52,8,4.88,0,0.39,9.860777,81326,8247.423099
1046296686279277560,80486854,83.0,0,2.0,1,1,1,3,2,2,1.0,1.0,450.0,2,25,30,0,4.818525443935496,0,0.7332381191537447,8.371719,81143,9692.513569
927526475262486650,523480507,100.0,0,2.0,1,0,4,1,1,3,1.0,3.0,948.0,1,21,270,0,4.818525443935496,1,0.7332381191537447,9.860777,81326,8247.423099
902248076801950750,23408732,100.0,0,2.0,1,1,3,1,1,4,1.0,4.0,1320.4675313807531,4,365,0,2,5.0,0,0.35,9.432832,57153,6058.94391
955877928825751769,532198492,71.55430761099366,0,9.0,1,1,3,1,1,2,1.0,1.0,1693.0,2,60,225,10,4.6,1,2.65,9.432832,57153,6058.94391
902578806564618234,505077625,100.0,0,1.0,1,1,2,1,1,2,1.0,1.0,1320.4675313807531,3,21,0,4,4.75,1,0.69,4.104694,79318,19323.730344
15253289,18163286,71.55430761099366,0,1.0,1,1,5,1,1,3,1.0,2.0,1320.4675313807531,4,365,0,2,5.0,0,0.1,8.7,105360,12110.344828
13939864,40901233,80.0,1,1.0,1,1,5,2,1,2,1.0,1.0,1320.4675313807531,5,1125,0,104,4.83,0,1.17,8.7,105360,12110.344828
923215362035613092,121717134,28.0,0,2.0,1,1,8,2,1,4,1.0,2.0,764.0,3,365,0,4,4.75,0,0.75,6.832786,55044,8055.864767
35501907,27988854,100.0,0,1.0,1,1,3,2,1,3,1.0,3.0,1800.0,3,35,270,3,4.33,0,0.17,9.432832,57153,6058.94391
22691008,155879737,71.55430761099366,0,37.0,1,1,6,1,1,2,1.0,2.0,7448.0,1,1125,273,0,4.818525443935496,1,0.7332381191537447,19.370227,88306,4558.852098
731189912043033314,10197562,71.55430761099366,0,2.0,1,1,2,2,1,4,1.0,3.0,2002.0,12,365,365,0,4.818525443935496,0,0.7332381191537447,4.104694,79318,19323.730344
18532660,128665028,100.0,0,1.0,1,1,3,1,1,6,1.0,6.0,1427.0,3,10,163,141,4.74,1,1.78,9.432832,57153,6058.94391
902286811660453796,153542391,100.0,0,1.0,1,1,3,1,1,4,1.0,3.0,1320.4675313807531,2,21,0,5,4.8,0,0.84,9.432832,57153,6058.94391
638914523393865435,2473872,71.55430761099366,0,1.0,1,1,2,2,1,2,1.0,1.0,1320.4675313807531,2,10,0,4,4.75,0,0.23,4.104694,79318,19323.730344
903370174956894980,72246906,100.0,1,2.0,1,1,3,1,1,3,1.0,2.0,1320.4675313807531,1,5,0,26,4.69,0,4.79,9.432832,57153,6058.94391
601302779080861596,247379882,99.0,0,15.0,1,1,3,2,1,2,1.0,1.0,1321.0,2,365,0,40,4.71,1,2.94,9.432832,57153,6058.94391
25463930,93584343,88.0,0,2.0,1,1,4,2,1,2,1.5,1.0,1593.0,1,365,18,11,4.64,0,0.77,9.860777,81326,8247.423099
950693527430993708,529869689,71.55430761099366,0,1.0,0,1,7,1,1,4,2.0,3.0,2486.0,7,14,173,0,4.818525443935496,0,0.7332381191537447,9.784081,63068,6445.980977
15637782,58437049,0.0,0,2.0,1,1,2,1,1,4,1.0,3.0,1320.4675313807531,4,1124,0,15,4.93,0,0.19,4.104694,79318,19323.730344
913662249139267615,15275045,100.0,0,2.0,1,1,2,1,1,2,1.0,1.0,1400.0,1,5,87,0,4.818525443935496,0,0.7332381191537447,4.104694,79318,19323.730344
7805611,41087167,0.0,0,1.0,1,1,2,1,1,2,1.0,1.0,750.0,2,1125,0,7,5.0,0,0.07,4.104694,79318,19323.730344
924378975660012375,28681526,100.0,0,1.0,1,1,3,1,1,7,1.5,5.0,1320.4675313807531,4,365,0,3,5.0,0,0.65,9.432832,57153,6058.94391
10693032,55243247,97.0,1,1.0,1,1,4,1,1,2,1.0,1.0,1157.0,2,1125,350,73,4.67,0,0.78,9.860777,81326,8247.423099
8964524,46850313,100.0,0,1.0,1,1,2,2,1,6,1.0,4.0,1320.4675313807531,4,21,0,9,5.0,0,0.51,4.104694,79318,19323.730344
642411259252577972,96392621,63.0,1,2.0,1,1,5,2,1,3,1.0,2.0,1320.4675313807531,2,365,0,15,4.87,0,0.82,8.7,105360,12110.344828
19050957,21362501,97.0,1,2.0,1,1,10,4,1,10,1.5,6.0,2200.0,2,28,0,68,4.93,0,0.86,6.698505,40776,6087.328441
882388623097827544,26580062,32.0,0,3.0,1,1,1,1,1,2,1.0,1.0,1087.0,2,365,32,5,4.6,0,0.85,8.371719,81143,9692.513569
23811209,791129,52.0,1,6.0,1,1,2,3,2,1,0.5,1.0,319.0,30,1125,31,12,4.92,0,0.17,4.104694,79318,19323.730344
7068274,37059798,100.0,1,1.0,1,1,3,2,1,4,2.0,2.0,2700.0,3,1125,79,127,4.98,0,1.23,9.432832,57153,6058.94391
2452011,12537380,13.0,0,1.0,1,1,3,1,1,2,1.0,1.0,1800.0,1,5,364,33,4.85,0,0.4,9.432832,57153,6058.94391
20276207,81885316,33.0,0,1.0,1,1,4,1,1,2,1.0,1.0,1320.4675313807531,2,1125,0,37,4.97,0,0.48,9.860777,81326,8247.423099
16917965,112975014,71.55430761099366,0,1.0,1,1,4,2,1,2,1.0,1.0,1999.0,2,7,89,34,4.85,0,0.41,9.860777,81326,8247.423099
26743427,187610263,98.0,0,595.0,1,1,3,1,1,4,1.0,3.0,1812.0,1,1125,0,4,4.75,0,0.07,9.432832,57153,6058.94391
